City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,broken hill,-31.95,141.4333,28.72,18,0,5.35,AU,1675816377
197,enfield,-34.8526,138.6026,30.75,35,0,3.6,AU,1675816190
198,abnub,27.2696,31.1511,8.43,57,80,2.17,EG,1675816378
199,auki,-8.7676,160.7034,28.6,77,100,2.61,SB,1675816378
200,lethem,3.3803,-59.7968,26.37,70,33,5.03,GY,1675816379
201,ostrovnoy,68.0531,39.5131,0.26,79,57,10.68,RU,1675816191
202,salinas,36.6777,-121.6555,16.45,71,0,4.63,US,1675816259
203,port moresby,-9.4431,147.1797,26.14,81,100,5.04,PG,1675816318
204,orocue,4.7912,-71.3354,30.12,43,98,2.65,CO,1675816380
205,narsaq,60.9167,-46.05,-18.88,65,0,3.48,GL,1675816380
206,sande,53.5049,8.0142,-1.1,81,89,2.17,DE,1675816381
207,pitsunda,43.1592,40.3378,4.1,79,100,5.33,GE,1675816386
208,lompoc,34.6391,-120.4579,21.12,70,40,4.63,US,1675816390
209,puerto el triunfo,13.2833,-88.55,25.95,71,6,2.97,SV,1675816391
210,puerto carreno,6.189,-67.4859,28.8,50,14,2.19,CO,1675816393
211,ustka,54.5805,16.8619,-0.75,84,100,4.16,PL,1675816394
212,sinop,41.7711,34.8709,-3.58,96,100,5.09,TR,1675816218
213,yerbogachen,61.2767,108.0108,-30.61,100,98,1.22,RU,1675816395
214,maputo,-25.9653,32.5892,23.82,94,75,2.06,MZ,1675816397
215,yamethin,20.4333,96.15,17.42,33,0,1.54,MM,1675816398
216,laguna,38.421,-121.4238,16.16,57,0,1.54,US,1675816398
217,mahebourg,-20.4081,57.7,24.58,81,44,6.49,MU,1675816090
